Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Neighborhood,Longitude,Location,citydst
800 Fox Chase Ln,Chattanooga,TN,37343,4/1/2024 0:05,TN0330100,A1,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,24-028688,4,Inactive/Suspended,35.157549,,-85.234552,POINT (-85.234552 35.157549),3
2700 13th Ave,Chattanooga,TN,37407,4/1/2024 0:05,TN0330100,B8,Baker S,91Z,Miscellaneous Information,,24-028600,3,Pending/Possible Leads,35.008179999999996,,-85.27524,POINT (-85.27524 35.00818),7
800 Wheeler Ave,Chattanooga,TN,37406,4/1/2024 0:06,TN0330100,B3,Baker N,91Z,Miscellaneous Information,,24-028591,3,Pending/Possible Leads,35.043269,Wheeler Ave,-85.261958,POINT (-85.261958 35.043269),8
2400 Williams St,Chattanooga,TN,37408,4/1/2024 0:07,TN0330100,A10,Adam S,23A,Pocket Picking,Part 1 Crimes,24-028592,3,Pending/Possible Leads,35.028038,,-85.313953,POINT (-85.313953 35.028038),7
1000 Georgia Ave,Chattanooga,TN,37402,4/1/2024 0:12,TN0330100,A9,Adam S,91Z,Fire,,24-028597,3,Pending/Possible Leads,34.98444069999999,St. Elmo,-85.332043,POINT (-85.332043 34.9844407),7
700 E 11th St,Chattanooga,TN,37403,4/1/2024 0:15,TN0330100,A9,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-028599,2,Cleared by Arrest,35.041389,Martin Luther King,-85.29908,POINT (-85.29908 35.041389),8
Tunnel Blvd & Martin St,Chattanooga,TN,37411,4/1/2024 0:17,TN0330100,C1,Charlie S,520,Weapon Law Violations,Part 1 Crimes,24-028607,2,Cleared by Arrest,35.045725,North Brainerd,-85.236648,POINT (-85.236648 35.045725),9
4300 Dodds Ave,Chattanooga,TN,37407,4/1/2024 0:30,TN0330100,B9,Baker S,23D,Theft From Buildings,Part 1 Crimes,24-028908,3,Pending/Possible Leads,34.990621,Cedar Hill,-85.28696,POINT (-85.28696 34.990621),7
4300 Dodds Ave,Chattanooga,TN,37407,4/1/2024 0:30,TN0330100,B9,Baker S,90J,Trespass Of Real Property,Part 2 Crimes,24-028908,3,Pending/Possible Leads,34.992163,Cedar Hill,-85.286302,POINT (-85.286302 34.992163),7
4800 Ranco Cir,Chattanooga,TN,37363,4/1/2024 0:41,TN0330100,C9,Charlie N,91Z,Miscellaneous Information,,24-028539,3,Pending/Possible Leads,35.070918,,-85.114179,POINT (-85.114179 35.070918),6
400 Tunnel Blvd,Chattanooga,TN,37411,4/1/2024 0:43,TN0330100,C2,Charlie S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,24-028602,3,Pending/Possible Leads,35.033476,Menlo,-85.24409,POINT (-85.24409 35.033476),
700 N Germantown Rd,Chattanooga,TN,37411,4/1/2024 1:40,TN0330100,C2,Charlie S,91Z,Miscellaneous Information,,24-028615,3,Pending/Possible Leads,35.033061000000004,Menlo,-85.241778,POINT (-85.241778 35.033061),9
3200 15th Ave,Chattanooga,TN,37407,4/1/2024 2:21,TN0330100,B8,Baker S,91Z,Serving Warrant,,24-028621,2,Cleared by Arrest,35.001478,East Lake,-85.276579,POINT (-85.276579 35.001478),7
2300 Lindberg Ave,Chattanooga,TN,37404,4/1/2024 3:02,TN0330100,B6,Baker S,90D,Driving Under The Influence,Part 2 Crimes,24-028624,2,Cleared by Arrest,35.020578,,-85.29203,POINT (-85.29203 35.020578),8
2300 Lindberg Ave,Chattanooga,TN,37404,4/1/2024 3:02,TN0330100,B6,Baker S,90Z,All Other Offenses,Part 2 Crimes,24-028624,2,Cleared by Arrest,35.020727,,-85.291014,POINT (-85.291014 35.020727),8
1200 Poplar St,Chattanooga,TN,37402,4/1/2024 3:09,TN0330100,A6,Adam S,13B,Simple Assault,Part 1 Crimes,24-028622,3,Pending/Possible Leads,35.04234,,-85.316638,POINT (-85.316638 35.04234),7
800 Oak St,Chattanooga,TN,37403,4/1/2024 4:00,TN0330100,A8,Adam S,91Z,Miscellaneous Information,,24-028628,3,Pending/Possible Leads,35.044843,Fort Wood,-85.293777,POINT (-85.293777 35.044843),8
4900 Angela Dr,Chattanooga,TN,37410,4/1/2024 4:07,TN0330100,A12,Adam S,91Z,Mental Health Call,,24-028625,3,Pending/Possible Leads,34.989937000000005,Alton Park/ Piney Woods,-85.304209,POINT (-85.304209 34.989937),7
900-900 Market St,Chattanooga,TN,37410,4/1/2024 4:27,TN0330100,A9,Adam S,91Z,Mental Health Call,,24-028630,3,Pending/Possible Leads,35.045156,,-85.308926,POINT (-85.308926 35.045156),7
800 Broad St,Chattanooga,TN,37402,4/1/2024 5:39,TN0330100,A7,Adam S,91Z,Miscellaneous Information,,24-028634,3,Pending/Possible Leads,35.04673,,-85.310011,POINT (-85.310011 35.04673),7
2400 Union Ave,Chattanooga,TN,37404,4/1/2024 5:40,TN0330100,B5,Baker S,91Z,Mental Health Call,,24-028635,3,Pending/Possible Leads,35.029974,Ridgedale,-85.269029,POINT (-85.269029 35.029974),9
W Main St & Chestnut St,Chattanooga,TN,37402,4/1/2024 6:17,TN0330100,A10,Adam S,91Z,Mental Health Call,,24-028643,3,Pending/Possible Leads,35.038525,,-85.312536,POINT (-85.312536 35.038525),7
1400 Palisades Rd,Chattanooga,TN,37377,4/1/2024 8:03,TN0330100,A5,Adam N,91Z,Field Interview,,24-028657,3,Pending/Possible Leads,35.105650000000004,,-85.348991,POINT (-85.348991 35.10565),1
3300 Cummings Hwy,Chattanooga,TN,37419,4/1/2024 8:23,TN0330100,A13,Adam S,91Z,Miscellaneous Information,,24-028660,3,Pending/Possible Leads,35.019274,,-85.372315,POINT (-85.372315 35.019274),1
900 Georgia Ave,Chattanooga,TN,37402,4/1/2024 8:30,TN0330100,A9,Adam S,91Z,Miscellaneous Information,,24-028663,3,Pending/Possible Leads,35.045031,,-85.308037,POINT (-85.308037 35.045031),8
100 Integra Vistas Dr,Chattanooga,TN,37343,4/1/2024 8:30,TN0330100,A1,Adam N,91Z,Damaged Property Accidental,,24-028665,3,Pending/Possible Leads,35.177087,,-85.244779,POINT (-85.244779 35.177087),1
2300 Wilson St,Chattanooga,TN,37406,4/1/2024 8:55,TN0330100,B3,Baker N,91Z,Field Interview,,24-028669,3,Pending/Possible Leads,35.050934999999996,Avondale,-85.261441,POINT (-85.261441 35.050935),9
400 Birmingham Hwy,Chattanooga,TN,37419,4/1/2024 9:00,TN0330100,A13,Adam S,23G,Theft Of Motor Vehicle Parts Or Accessories,Part 1 Crimes,24-028689,4,Inactive/Suspended,35.009337,,-85.390317,POINT (-85.390317 35.009337),1
700 Glenwood Dr,Chattanooga,TN,37404,4/1/2024 9:00,TN0330100,B4,Baker N,91Z,DOA/Natural,,24-028911,3,Pending/Possible Leads,35.040167,Glenwood,-85.259957,POINT (-85.259957 35.040167),9
2200 Polymer Dr,Chattanooga,TN,37421,4/1/2024 9:01,TN0330100,C4,Charlie S,91Z,Miscellaneous Information,,24-028667,3,Pending/Possible Leads,35.052794999999996,Shepherd,-85.193212,POINT (-85.193212 35.052795),6
3800 Hixson Pike,Chattanooga,TN,37415,4/1/2024 9:20,TN0330100,A3,Adam N,91Z,Field Interview,,24-028675,3,Pending/Possible Leads,35.112093,Fairfax/ Bagwell,-85.26369,POINT (-85.26369 35.112093),2
2300 Gibbons Rd,Chattanooga,TN,37421,4/1/2024 9:22,TN0330100,C7,Charlie N,91Z,Miscellaneous Information,,24-028673,3,Pending/Possible Leads,35.023433000000004,,-85.127228,POINT (-85.127228 35.023433),4
600 Signal Mountain Rd,Chattanooga,TN,37405,4/1/2024 9:30,TN0330100,A5,Adam N,91Z,Property Found,,24-028668,3,Pending/Possible Leads,35.098409000000004,,-85.327082,POINT (-85.327082 35.098409),1
5000 Highway 58,Chattanooga,TN,37416,4/1/2024 9:45,TN0330100,C5,Charlie N,91Z,Damaged Property Accidental,,24-028687,3,Pending/Possible Leads,35.094523,,-85.177601,POINT (-85.177601 35.094523),3
2200 Rossville Blvd,Chattanooga,TN,37408,4/1/2024 10:05,TN0330100,B6,Baker S,90Z,All Other Offenses,Part 2 Crimes,24-028708,3,Pending/Possible Leads,35.024423,,-85.298659,POINT (-85.298659 35.024423),8
5200 Usher Dr,Chattanooga,TN,37410,4/1/2024 10:13,TN0330100,A12,Adam S,13B,Simple Assault,Part 1 Crimes,24-028693,2,Cleared by Arrest,34.98941,Alton Park/ Piney Woods,-85.315132,POINT (-85.315132 34.98941),7
100 Cross St,Chattanooga,TN,37405,4/1/2024 10:36,TN0330100,A5,Adam N,91Z,Field Interview,,24-028698,3,Pending/Possible Leads,35.099692,,-85.328856,POINT (-85.328856 35.099692),1
2200 Monroe St,Chattanooga,TN,37406,4/1/2024 10:36,TN0330100,B2,Baker N,91Z,Field Interview,,24-028701,3,Pending/Possible Leads,35.053875000000005,Avondale,-85.260346,POINT (-85.260346 35.053875),8
2100 E 23rd St,Chattanooga,TN,37404,4/1/2024 10:38,TN0330100,B6,Baker S,91Z,Field Interview,,24-028974,3,Pending/Possible Leads,35.017745,,-85.280621,POINT (-85.280621 35.017745),8
3900 Volunteer Dr,Chattanooga,TN,37416,4/1/2024 10:45,TN0330100,C5,Charlie N,91Z,Miscellaneous Information,,24-028650,3,Pending/Possible Leads,35.073166,,-85.199948,POINT (-85.199948 35.073166),5
2500 Harrison Pike,Chattanooga,TN,37406,4/1/2024 10:56,TN0330100,B1,Baker N,91Z,Suspicious Activity,,24-028703,3,Pending/Possible Leads,35.081516,,-85.23714,POINT (-85.23714 35.081516),9
1800 Chase Meadows Cir,Chattanooga,TN,37343,4/1/2024 11:07,TN0330100,A1,Adam N,23F,Theft From Motor Vehicle,Part 1 Crimes,24-028705,4,Inactive/Suspended,35.149471,,-85.243589,POINT (-85.243589 35.149471),3
4700 N Terrace,Chattanooga,TN,37411,4/1/2024 11:15,TN0330100,C2,Charlie S,91Z,Miscellaneous Information,,24-028683,3,Pending/Possible Leads,35.007754999999996,Belvoir,-85.231986,POINT (-85.231986 35.007755),6
8000 Volkswagen Dr,Chattanooga,TN,37416,4/1/2024 11:15,TN0330100,C6,Charlie N,91Z,Serving Warrant,,24-028719,2,Cleared by Arrest,35.08081,,-85.132845,POINT (-85.132845 35.08081),6
1200 Hamilton Ave,Chattanooga,TN,37405,4/1/2024 11:17,TN0330100,A4,Adam N,23H,All Other Larceny,Part 1 Crimes,24-029641,3,Pending/Possible Leads,35.075633,Hill City,-85.308185,POINT (-85.308185 35.075633),1
1200 E Main St,Chattanooga,TN,37408,4/1/2024 11:20,TN0330100,B5,Baker S,91Z,Mental Health Call,,24-028713,3,Pending/Possible Leads,35.028941,Park Central,-85.289683,POINT (-85.289683 35.028941),8
3100 Mountain Creek Rd,Chattanooga,TN,37415,4/1/2024 11:30,TN0330100,A5,Adam N,91Z,Suspicious Activity,,24-028718,3,Pending/Possible Leads,35.121974,,-85.31533,POINT (-85.31533 35.121974),1
700 S Greenwood Ave,Chattanooga,TN,37404,4/1/2024 11:30,TN0330100,B5,Baker S,91Z,Miscellaneous Information,,24-028717,3,Pending/Possible Leads,35.035375,Highland Park,-85.2829,POINT (-85.2829 35.035375),9
600 Courtney Ln,Chattanooga,TN,37415,4/1/2024 11:40,TN0330100,A1,Adam N,91Z,Field Interview,,24-028721,3,Pending/Possible Leads,35.167879,,-85.281009,POINT (-85.281009 35.167879),1
4500 Peckinpaugh Dr,Chattanooga,TN,37416,4/1/2024 11:40,TN0330100,C6,Charlie N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,24-028760,3,Pending/Possible Leads,35.082699000000005,,-85.182801,POINT (-85.182801 35.082699),5
3600 6th Ave,Chattanooga,TN,37407,4/1/2024 12:00,TN0330100,B8,Baker S,23H,All Other Larceny,Part 1 Crimes,24-029481,3,Pending/Possible Leads,35.000722,East Lake,-85.285095,POINT (-85.285095 35.000722),7
900 Sherry Cir,Chattanooga,TN,37343,4/1/2024 12:00,TN0330100,A3,Adam N,91Z,Miscellaneous Information,,24-028726,3,Pending/Possible Leads,35.126616,,-85.268825,POINT (-85.268825 35.126616),2
600 Georgia Ave,Chattanooga,TN,37402,4/1/2024 12:00,TN0330100,A7,Adam S,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,24-029082,3,Pending/Possible Leads,35.050149,,-85.306205,POINT (-85.306205 35.050149),7
2500 De Sales Ave,Chattanooga,TN,37404,4/1/2024 12:00,TN0330100,B3,Baker N,91Z,Property Lost,,24-029821,3,Pending/Possible Leads,35.042126,Glenwood,-85.260738,POINT (-85.260738 35.042126),9
700 Moore St,Chattanooga,TN,37411,4/1/2024 12:08,TN0330100,C2,Charlie S,91Z,Miscellaneous Information,,24-028711,3,Pending/Possible Leads,35.030847,Woodmore,-85.229865,POINT (-85.229865 35.030847),5
7000 Shallowford Rd,Chattanooga,TN,37421,4/1/2024 12:08,TN0330100,C9,Charlie N,000,Misc Report,Other Incidents,24-028728,3,Pending/Possible Leads,35.044684000000004,,-85.158037,POINT (-85.158037 35.044684),6
7000 Shallowford Rd,Chattanooga,TN,37421,4/1/2024 12:08,TN0330100,C9,Charlie N,35B,Drug Equipment Violations,Part 1 Crimes,24-028728,3,Pending/Possible Leads,35.045491,,-85.157031,POINT (-85.157031 35.045491),6
7000 Shallowford Rd,Chattanooga,TN,37421,4/1/2024 12:08,TN0330100,C9,Charlie N,35A,Drug/Narcotic Violations,Part 1 Crimes,24-028728,3,Pending/Possible Leads,35.04393,,-85.158527,POINT (-85.158527 35.04393),6
6200 Jim Snow Way,Chattanooga,TN,37421,4/1/2024 12:10,TN0330100,C4,Charlie S,91Z,Property Lost,,24-028725,3,Pending/Possible Leads,35.021971,,-85.192695,POINT (-85.192695 35.021971),6
500 Broad St,Chattanooga,TN,37402,4/1/2024 12:15,TN0330100,A7,Adam S,91Z,Miscellaneous Information,,24-028732,3,Pending/Possible Leads,35.050654,,-85.309513,POINT (-85.309513 35.050654),7
100 Moccasin Bend Rd,Chattanooga,TN,37405,4/1/2024 12:32,TN0330100,A5,Adam N,13B,Simple Assault,Part 1 Crimes,24-028743,3,Pending/Possible Leads,35.025312,,-85.335764,POINT (-85.335764 35.025312),1
1200 Lenny Ln,Chattanooga,TN,37421,4/1/2024 12:35,TN0330100,C8,Charlie N,13B,Simple Assault,Part 1 Crimes,24-028737,3,Pending/Possible Leads,35.009696000000005,,-85.161512,POINT (-85.161512 35.009696),4
3000 Broad St,Chattanooga,TN,37408,4/1/2024 12:43,TN0330100,A11,Adam S,91Z,Miscellaneous Information,,24-028742,3,Pending/Possible Leads,35.021386,,-85.320094,POINT (-85.320094 35.021386),7
3500 Broad St,Chattanooga,TN,37409,4/1/2024 12:57,TN0330100,A11,Adam S,23C,Shoplifting,Part 1 Crimes,24-028762,3,Pending/Possible Leads,35.015333,,-85.325962,POINT (-85.325962 35.015333),7
2300 Lifestyle Way,Chattanooga,TN,37421,4/1/2024 13:00,TN0330100,C9,Charlie N,91Z,Property Found,,24-028776,3,Pending/Possible Leads,35.042832999999995,,-85.150998,POINT (-85.150998 35.042833),4
800 N Holtzclaw Ave,Chattanooga,TN,37404,4/1/2024 13:00,TN0330100,B3,Baker N,91Z,Intelligence Report,,24-028766,3,Pending/Possible Leads,35.049648999999995,Bushtown,-85.275481,POINT (-85.275481 35.049649),8
2200 E 24th Street Ct,Chattanooga,TN,37407,4/1/2024 13:02,TN0330100,B8,Baker S,240,Motor Vehicle Theft,Part 1 Crimes,24-029095,3,Pending/Possible Leads,35.014914000000005,,-85.278791,POINT (-85.278791 35.014914),8
2500 Chamberlain Ave,Chattanooga,TN,37404,4/1/2024 13:04,TN0330100,B5,Baker S,91Z,Mental Health Call,,24-028747,3,Pending/Possible Leads,35.030035000000005,Ridgedale,-85.265829,POINT (-85.265829 35.030035),9
2000 Walker Ave,Chattanooga,TN,37404,4/1/2024 13:25,TN0330100,B4,Baker N,26A,False Pretense/Swindle/Confidence Game,Part 1 Crimes,24-028740,3,Pending/Possible Leads,35.044519,Churchville,-85.267694,POINT (-85.267694 35.044519),8
1700 Gunbarrel Rd,Chattanooga,TN,37421,4/1/2024 13:30,TN0330100,C9,Charlie N,91Z,Serving Warrant,,24-028758,2,Cleared by Arrest,35.022752,,-85.161206,POINT (-85.161206 35.022752),4
3600 Tennessee Ave,Chattanooga,TN,37409,4/1/2024 13:40,TN0330100,A11,Adam S,120,Robbery,Part 1 Crimes,24-028765,4,Inactive/Suspended,35.013836000000005,,-85.32534,POINT (-85.32534 35.013836),7
1500 Chestnut St,Chattanooga,TN,37402,4/1/2024 13:45,TN0330100,A10,Adam S,240,Motor Vehicle Theft,Part 1 Crimes,24-028853,4,Inactive/Suspended,35.038418,,-85.313931,POINT (-85.313931 35.038418),7
1200 Poplar St,Chattanooga,TN,37402,4/1/2024 13:56,TN0330100,A6,Adam S,91Z,Suspicious Activity,,24-028769,3,Pending/Possible Leads,35.041975,,-85.316554,POINT (-85.316554 35.041975),7
4900 Angela Dr,Chattanooga,TN,37410,4/1/2024 14:00,TN0330100,A12,Adam S,91Z,Miscellaneous Information,,24-028784,3,Pending/Possible Leads,34.989869000000006,Alton Park/ Piney Woods,-85.304582,POINT (-85.304582 34.989869),7
2100 Park Dr,Chattanooga,TN,37421,4/1/2024 14:00,TN0330100,C6,Charlie N,91Z,Field Interview,,24-028770,3,Pending/Possible Leads,35.042496,,-85.162776,POINT (-85.162776 35.042496),6
2500 Market St,Chattanooga,TN,37408,4/1/2024 14:00,TN0330100,A10,Adam S,90J,Trespass Of Real Property,Part 2 Crimes,24-028771,2,Cleared by Arrest,35.02529,,-85.311411,POINT (-85.311411 35.02529),7
400 Greenway View Dr,Chattanooga,TN,37411,4/1/2024 14:00,TN0330100,C3,Charlie S,23C,Shoplifting,Part 1 Crimes,24-028785,2,Cleared by Arrest,35.008297000000006,,-85.206063,POINT (-85.206063 35.008297),6
2100 Raulston St,Chattanooga,TN,37404,4/1/2024 14:00,TN0330100,B4,Baker N,23H,All Other Larceny,Part 1 Crimes,24-030683,3,Pending/Possible Leads,35.042546,Churchville,-85.267685,POINT (-85.267685 35.042546),8
1400 Cloverdale Cir,Chattanooga,TN,37343,4/1/2024 14:07,TN0330100,A3,Adam N,91Z,Miscellaneous Information,,24-028773,3,Pending/Possible Leads,35.130063,,-85.247699,POINT (-85.247699 35.130063),2
4800 Bonny Lake Ln,Chattanooga,TN,37416,4/1/2024 14:10,TN0330100,C5,Charlie N,26B,Fraud Credit Card/Automated Teller Machines,Part 1 Crimes,24-028777,3,Pending/Possible Leads,35.077919,Lake Hills,-85.189432,POINT (-85.189432 35.077919),5
400 N Market St,Chattanooga,TN,37405,4/1/2024 14:16,TN0330100,A4,Adam N,91Z,Damaged Property Accidental,,24-028780,3,Pending/Possible Leads,35.064959,Northside/Cherokee,-85.308385,POINT (-85.308385 35.064959),2
900 Carter St,Chattanooga,TN,37402,4/1/2024 14:23,TN0330100,A9,Adam S,23H,All Other Larceny,Part 1 Crimes,24-028782,3,Pending/Possible Leads,35.045868,,-85.312809,POINT (-85.312809 35.045868),7
2100 Shepherd Rd,Chattanooga,TN,37421,4/1/2024 14:30,TN0330100,C6,Charlie N,13B,Simple Assault,Part 1 Crimes,24-028792,3,Pending/Possible Leads,35.044826,Shepherd,-85.1826,POINT (-85.1826 35.044826),6
Carter St & W 10th St,Chattanooga,TN,37402,4/1/2024 14:30,TN0330100,A9,Adam S,240,Motor Vehicle Theft,Part 1 Crimes,24-028841,3,Pending/Possible Leads,35.045289,,-85.312041,POINT (-85.312041 35.045289),7
2100 Shepherd Rd,Chattanooga,TN,37421,4/1/2024 14:30,TN0330100,C6,Charlie N,520,Weapon Law Violations,Part 1 Crimes,24-028792,3,Pending/Possible Leads,35.043672,Shepherd,-85.181808,POINT (-85.181808 35.043672),6
3200 Amnicola Hwy,Chattanooga,TN,37406,4/1/2024 14:30,TN0330100,B1,Baker N,35A,Drug/Narcotic Violations,Part 1 Crimes,24-028810,3,Pending/Possible Leads,35.078902,Riverside Area,-85.264012,POINT (-85.264012 35.078902),8
200 Broad St,Chattanooga,TN,37402,4/1/2024 14:37,TN0330100,A7,Adam S,90E,Drunkenness,Part 2 Crimes,24-028790,2,Cleared by Arrest,35.054472,,-85.311763,POINT (-85.311763 35.054472),7
3700 Hoyt St,Chattanooga,TN,37411,4/1/2024 14:42,TN0330100,C1,Charlie S,91Z,Mental Health Call,,24-028795,3,Pending/Possible Leads,35.040234999999996,North Brainerd,-85.234929,POINT (-85.234929 35.040235),9
1000 O Grady Dr,Chattanooga,TN,37419,4/1/2024 14:46,TN0330100,A13,Adam S,91Z,Miscellaneous Information,,24-028802,3,Pending/Possible Leads,35.053607,,-85.354344,POINT (-85.354344 35.053607),1
4600 Shawhan Rd,Chattanooga,TN,37411,4/1/2024 14:57,TN0330100,C3,Charlie S,91Z,Miscellaneous Information,,24-028851,3,Pending/Possible Leads,35.03671,,-85.216743,POINT (-85.216743 35.03671),5
4612-470 Shawhan Rd,Chattanooga,TN,37411,4/1/2024 14:58,TN0330100,C3,Charlie S,35A,Drug/Narcotic Violations,Part 1 Crimes,24-028873,2,Cleared by Arrest,35.035803,,-85.216888,POINT (-85.216888 35.035803),5
4612-470 Shawhan Rd,Chattanooga,TN,37411,4/1/2024 14:58,TN0330100,C3,Charlie S,90Z,All Other Offenses,Part 2 Crimes,24-028873,2,Cleared by Arrest,35.0375,Brainerd Mnr,-85.217444,POINT (-85.217444 35.0375),5
3600 5th Ave,Chattanooga,TN,37407,4/1/2024 15:00,TN0330100,B8,Baker S,90Z,All Other Offenses,Part 2 Crimes,24-028816,2,Cleared by Arrest,35.002164,East Lake,-85.285873,POINT (-85.285873 35.002164),7
3600 5th Ave,Chattanooga,TN,37407,4/1/2024 15:00,TN0330100,B8,Baker S,90C,Disorderly Conduct,Part 2 Crimes,24-028816,2,Cleared by Arrest,35.001122,East Lake,-85.286336,POINT (-85.286336 35.001122),7
1400 Cloverdale Dr,Chattanooga,TN,37343,4/1/2024 15:05,TN0330100,A3,Adam N,91Z,Miscellaneous Information,,24-028799,3,Pending/Possible Leads,35.128637,,-85.249949,POINT (-85.249949 35.128637),2
1100 Lenny Ln,Chattanooga,TN,37421,4/1/2024 15:10,TN0330100,C8,Charlie N,91Z,Suspicious Activity,,24-028745,3,Pending/Possible Leads,35.009591,,-85.161619,POINT (-85.161619 35.009591),4
4200 Rossville Blvd,Chattanooga,TN,37407,4/1/2024 15:13,TN0330100,B9,Baker S,91Z,Serving Warrant,,24-028789,2,Cleared by Arrest,34.994708,,-85.291529,POINT (-85.291529 34.994708),7
1100 E 14th St,Chattanooga,TN,37408,4/1/2024 15:16,TN0330100,B5,Baker S,91Z,Miscellaneous Information,,24-028818,3,Pending/Possible Leads,35.029717999999995,Park Central,-85.291205,POINT (-85.291205 35.029718),8
4500 Bonny Oaks Dr,Chattanooga,TN,37405,4/1/2024 15:19,TN0330100,C5,Charlie N,91Z,Suspicious Activity,,24-028924,3,Pending/Possible Leads,35.0463029,,-85.311095,POINT (-85.311095 35.0463029),7
1000 E 32nd St,Chattanooga,TN,37407,4/1/2024 15:31,TN0330100,B7,Baker S,91Z,Miscellaneous Information,,24-028819,3,Pending/Possible Leads,35.00806,Clifton Hills,-85.299488,POINT (-85.299488 35.00806),8
1200 Peeples St,Chattanooga,TN,37403,4/1/2024 15:38,TN0330100,A9,Adam S,91Z,Field Interview,,24-028832,3,Pending/Possible Leads,35.037461,,-85.300651,POINT (-85.300651 35.037461),8
E 10th St & Douglas St,Chattanooga,TN,37403,4/1/2024 15:38,TN0330100,A9,Adam S,91Z,Field Interview,,24-028824,3,Pending/Possible Leads,35.042769,Martin Luther King,-85.303106,POINT (-85.303106 35.042769),8
7700 E Brainerd Rd,Chattanooga,TN,37421,4/1/2024 15:40,TN0330100,C8,Charlie N,91Z,Miscellaneous Information,,24-028833,3,Pending/Possible Leads,35.008661000000004,,-85.155637,POINT (-85.155637 35.008661),4
5100 Brainerd Rd,Chattanooga,TN,37411,4/1/2024 15:40,TN0330100,C3,Charlie S,91Z,Property Found,,24-028820,3,Pending/Possible Leads,35.010557999999996,South Brainerd,-85.224553,POINT (-85.224553 35.010558),6
6200 Highway 58,Chattanooga,TN,37416,4/1/2024 15:49,TN0330100,C5,Charlie N,91Z,Miscellaneous Information,,24-028830,3,Pending/Possible Leads,35.121453,,-85.126635,POINT (-85.126635 35.121453),6
8600 Ooltewah Harrison Rd,Chattanooga,TN,37363,4/1/2024 15:54,TN0330100,C9,Charlie N,370,Pornography/Obscene Material,Part 1 Crimes,24-028707,3,Pending/Possible Leads,35.085522,,-85.081921,POINT (-85.081921 35.085522),6
1200 Michael Ln,Chattanooga,TN,37411,4/1/2024 15:55,TN0330100,C1,Charlie S,91Z,Missing Person,,24-028836,3,Pending/Possible Leads,35.041366,North Brainerd,-85.225077,POINT (-85.225077 35.041366),9
1700 Bennett Ave,Chattanooga,TN,37404,4/1/2024 16:00,TN0330100,B5,Baker S,220,Burglary/Breaking And Entering,Part 1 Crimes,24-028834,3,Pending/Possible Leads,35.029124,Highland Park,-85.279635,POINT (-85.279635 35.029124),8
800 Mountain Creek Rd,Chattanooga,TN,37405,4/1/2024 16:00,TN0330100,A5,Adam N,91Z,Suspicious Activity,,24-028837,3,Pending/Possible Leads,35.100976,,-85.325134,POINT (-85.325134 35.100976),1
1400 Market St,Chattanooga,TN,37408,4/1/2024 16:30,TN0330100,A7,Adam S,91Z,Miscellaneous Information,,24-028870,3,Pending/Possible Leads,35.036523,,-85.306397,POINT (-85.306397 35.036523),8
400 W 38th St,Chattanooga,TN,37410,4/1/2024 16:33,TN0330100,A12,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-028809,3,Pending/Possible Leads,35.007643,,-85.316063,POINT (-85.316063 35.007643),7
400 W 38th St,Chattanooga,TN,37410,4/1/2024 16:33,TN0330100,A12,Adam S,90Z,All Other Offenses,Part 2 Crimes,24-028809,3,Pending/Possible Leads,35.006392000000005,,-85.315825,POINT (-85.315825 35.006392),7
1400 Shawhan Ter,Chattanooga,TN,37411,4/1/2024 16:34,TN0330100,C2,Charlie S,90Z,All Other Offenses,Part 2 Crimes,24-028850,3,Pending/Possible Leads,34.999853,East Lake,-85.278751,POINT (-85.278751 34.999853),7
1800 N Chamberlain Ave,Chattanooga,TN,37406,4/1/2024 16:39,TN0330100,B2,Baker N,91Z,Miscellaneous Information,,24-028856,3,Pending/Possible Leads,35.055205,Missionary Rdge,-85.253349,POINT (-85.253349 35.055205),9
E 36th St & 14th Ave,Chattanooga,TN,37407,4/1/2024 16:40,TN0330100,B8,Baker S,91Z,Suspicious Activity,,24-028855,3,Pending/Possible Leads,34.999114,East Lake,-85.279471,POINT (-85.279471 34.999114),7
2700 Rossville Blvd,Chattanooga,TN,37407,4/1/2024 16:57,TN0330100,B7,Baker S,91Z,Miscellaneous Information,,24-028860,3,Pending/Possible Leads,35.015985,,-85.294462,POINT (-85.294462 35.015985),8
5400 Highway 153,Chattanooga,TN,37343,4/1/2024 17:00,TN0330100,A1,Adam N,91Z,Suspicious Activity,,24-029235,3,Pending/Possible Leads,35.139459,,-85.248771,POINT (-85.248771 35.139459),2
2200 Gunbarrel Rd,Chattanooga,TN,37421,4/1/2024 17:01,TN0330100,C7,Charlie N,91Z,Suspicious Activity,,24-028864,3,Pending/Possible Leads,35.03812,,-85.148579,POINT (-85.148579 35.03812),4
5400 Highway 153,Chattanooga,TN,37343,4/1/2024 17:01,TN0330100,A1,Adam N,91Z,Suspicious Activity,,24-028863,3,Pending/Possible Leads,35.139271,,-85.24712,POINT (-85.24712 35.139271),3
