Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Neighborhood,Longitude,Location,citydst
100 Honest St,Chattanooga,TN,37421,4/9/2024 2:59,TN0330100,C4,Charlie S,91Z,Serving Warrant,,24-031472,2,Cleared by Arrest,35.021972,,-85.201918,POINT (-85.201918 35.021972),5
2300 Mccallie Ave,Chattanooga,TN,37404,4/9/2024 3:00,TN0330100,B4,Baker N,91Z,Miscellaneous Information,,24-031474,3,Pending/Possible Leads,35.034743999999996,Glenwood,-85.268455,POINT (-85.268455 35.034744),9
6800 Conner Ln,Chattanooga,TN,37421,4/9/2024 3:00,TN0330100,C6,Charlie N,91Z,Miscellaneous Information,,24-031473,3,Pending/Possible Leads,35.04073,,-85.164745,POINT (-85.164745 35.04073),6
2600 E 41st St,Chattanooga,TN,37407,4/9/2024 3:34,TN0330100,B9,Baker S,13B,Simple Assault,Part 1 Crimes,24-031475,2,Cleared by Arrest,34.995611,East Lake,-85.285496,POINT (-85.285496 34.995611),7
Birmingham Dr & Elm St,Chattanooga,TN,37415,4/9/2024 5:01,TN0330100,A3,Adam N,91Z,Field Interview,,24-031481,3,Pending/Possible Leads,35.108316,Fairfax/ Bagwell,-85.255913,POINT (-85.255913 35.108316),2
7000 Mccutcheon Rd,Chattanooga,TN,37421,4/9/2024 5:30,TN0330100,C9,Charlie N,240,Motor Vehicle Theft,Part 1 Crimes,24-031553,3,Pending/Possible Leads,35.045441000000004,,-85.157071,POINT (-85.157071 35.045441),6
3000 E 34th St,Chattanooga,TN,37407,4/9/2024 5:33,TN0330100,B8,Baker S,91Z,Field Interview,,24-031483,3,Pending/Possible Leads,35.00028,East Lake,-85.277173,POINT (-85.277173 35.00028),7
3500 Dodson Ave,Chattanooga,TN,37402,4/9/2024 5:42,TN0330100,B1,Baker N,91Z,Attempted Suicide,,24-031486,3,Pending/Possible Leads,35.080614999999995,Boyce Station,-85.245634,POINT (-85.245634 35.080615),9
1300 Central Ave,Chattanooga,TN,37408,4/9/2024 5:45,TN0330100,B5,Baker S,90E,Drunkenness,Part 2 Crimes,24-031488,2,Cleared by Arrest,35.032763,Park Central,-85.295001,POINT (-85.295001 35.032763),8
1300 Central Ave,Chattanooga,TN,37408,4/9/2024 5:45,TN0330100,B5,Baker S,90C,Disorderly Conduct,Part 2 Crimes,24-031488,2,Cleared by Arrest,35.033078,Park Central,-85.294009,POINT (-85.294009 35.033078),8
1300 Central Ave,Chattanooga,TN,37408,4/9/2024 5:45,TN0330100,B5,Baker S,90Z,All Other Offenses,Part 2 Crimes,24-031488,2,Cleared by Arrest,35.033698,,-85.295384,POINT (-85.295384 35.033698),8
1600 Reggie White Blvd,Chattanooga,TN,37402,4/9/2024 5:56,TN0330100,A10,Adam S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,24-031487,4,Inactive/Suspended,35.0387,,-85.315813,POINT (-85.315813 35.0387),7
500-54 W Main St,Chattanooga,TN,37402,4/9/2024 6:27,TN0330100,A10,Adam S,290,Destructive/Damage/Vandalism Of Property,Part 1 Crimes,24-031492,3,Pending/Possible Leads,35.03935499999999,,-85.313507,POINT (-85.313507 35.039355),7
